,mjd,ra,decl,band,exposure_time,reward
91,59466.233544994364,240.0,0,g,300.0,1241.4685774155819
92,59466.2404894388,240.0,0,g,300.0,1930.1600505840859
93,59466.24710980917,40.0,0,g,300.0,733851.3377796629
94,59466.25405425361,40.0,0,g,300.0,174960.77276527244
95,59466.260998698046,40.0,0,g,300.0,56785.68151673348
96,59466.267943142484,40.0,0,g,300.0,23420.99646017892
97,59466.27456351285,240.0,0,g,300.0,47016.04306198311
98,59466.28150795729,240.0,0,g,300.0,129910.97750716272
99,59466.28845240173,240.0,0,g,300.0,529627.0231271094
100,59466.295396846166,240.0,0,g,300.0,3817672.0076930914
101,59466.302017216534,40.0,0,g,300.0,1568.8487383874788
102,59466.30896166097,40.0,0,g,300.0,1138.56000454599
103,59466.31590610541,40.0,0,g,300.0,858.9154363187174
104,59466.32285054985,40.0,0,g,300.0,682.3051154700638
105,59466.329794994286,40.0,0,g,300.0,567.8775393864777
106,59466.335628327615,280.0,0,g,300.0,791.7872025905792
107,59466.34257277205,280.0,0,g,300.0,1102.9399481364194
108,59466.34951721649,280.0,0,g,300.0,1694.9011425688902
109,59466.35613758686,80.0,0,g,300.0,1224294.6800616041
110,59466.3630820313,80.0,0,g,300.0,253865.6975869377
111,59466.370026475735,80.0,0,g,300.0,75364.93696067
112,59466.37697092017,80.0,0,g,300.0,29395.688046919407
113,59466.38359129054,280.0,0,g,300.0,35877.42978401141
114,59466.39053573498,280.0,0,g,300.0,93234.60070028357
115,59466.39748017942,280.0,0,g,300.0,339407.2654431019
116,59466.404424623855,280.0,0,g,300.0,2026726.9712788404
117,59466.41104499422,80.0,0,g,300.0,1380.4450028253084
118,59466.41798943866,80.0,0,g,300.0,883.9178425083576
119,59466.4249338831,80.0,0,g,300.0,564.3990473791603
120,59466.43187832754,80.0,0,g,300.0,364.2332315268792
121,59466.438822771976,80.0,0,g,300.0,235.3691483118575
122,59466.444656105305,320.0,0,g,300.0,352.33564942121126
123,59466.45160054974,320.0,0,g,300.0,624.1762834028507
124,59466.45854499418,320.0,0,g,300.0,1135.7890297215158
125,59466.46516536455,120.0,0,g,300.0,2169871.2871237844
126,59466.47210980899,120.0,0,g,300.0,382589.19525839644
127,59466.479054253425,120.0,0,g,300.0,102105.58335764811
128,59466.48599869786,120.0,0,g,300.0,37133.02923758285
129,59466.49261906823,320.0,0,g,300.0,28069.195792718423
130,59466.49956351267,320.0,0,g,300.0,68899.85497610773
131,59466.50650795711,320.0,0,g,300.0,227331.33793913855
132,59466.513452401545,320.0,0,g,300.0,1152053.6349508325
133,59466.52007277191,120.0,0,g,300.0,1582.4325212168899
134,59466.52701721635,120.0,0,g,300.0,1006.5799625020519
135,59466.53396166079,120.0,0,g,300.0,639.9443279312347
136,59466.54090610523,120.0,0,g,300.0,412.25728994246504
137,59466.546739438556,0.0,0,g,300.0,457.0028105560786
138,59466.553683882994,0.0,0,g,300.0,610.0216558040066
139,59466.56062832743,0.0,0,g,300.0,885.9646212841521
140,59466.56757277187,0.0,0,g,300.0,1332.9647708261223
141,59466.57419314224,160.0,0,g,300.0,4014782.3964925706
142,59467.09899542667,160.0,0,g,300.0,592908.9089505529
143,59467.10325468593,200.0,0,g,300.0,574.0190448063195
144,59467.109875056296,0.0,0,g,300.0,164.0208646832396
145,59467.116819500734,0.0,0,g,300.0,166.41072337689667
146,59467.1234398711,200.0,0,g,300.0,1580.9398787468458
147,59467.13006024147,0.0,0,g,300.0,1912497.567928376
148,59467.13700468591,0.0,0,g,300.0,349802.3733747758
149,59467.143949130346,0.0,0,g,300.0,95788.18455805392
150,59467.150893574784,0.0,0,g,300.0,35545.92122995421
151,59467.15751394515,200.0,0,g,300.0,30303.676278289215
152,59467.16413431552,0.0,0,g,300.0,8437.88302863289
153,59467.17107875996,0.0,0,g,300.0,4873.719897321087
154,59467.17769913033,200.0,0,g,300.0,1215802.1906674874
155,59467.184319500695,0.0,0,g,300.0,1965.6672370707615
156,59467.19126394513,0.0,0,g,300.0,1380.0383618436226
157,59467.19820838957,0.0,0,g,300.0,1007.7605318646217
158,59467.20515283401,0.0,0,g,300.0,776.8810427482928
159,59467.21209727845,0.0,0,g,300.0,629.4351592579742
160,59467.217930611776,240.0,0,g,300.0,641.2065041412036
161,59467.224875056214,240.0,0,g,300.0,878.3982412172963
162,59467.23181950065,240.0,0,g,300.0,1319.9387792099524
163,59467.23843987102,40.0,0,g,300.0,4268826.212556467
164,59467.24538431546,40.0,0,g,300.0,619527.8386295324
165,59467.252328759896,40.0,0,g,300.0,145788.83517812678
166,59467.259273204334,40.0,0,g,300.0,49345.375817349035
167,59467.2658935747,240.0,0,g,300.0,22377.765432782926
168,59467.27283801914,240.0,0,g,300.0,51650.935324535356
169,59467.27978246358,240.0,0,g,300.0,155194.17961379772
170,59467.286726908016,240.0,0,g,300.0,676066.7992053868
171,59467.293347278384,40.0,0,g,300.0,2189.9965589539356
172,59467.30029172282,40.0,0,g,300.0,1514.2988797488174
173,59467.30723616726,40.0,0,g,300.0,1089.401728201348
174,59467.3141806117,40.0,0,g,300.0,828.2208336714998
175,59467.321125056136,40.0,0,g,300.0,662.5974172621113
176,59467.326958389465,280.0,0,g,300.0,579.1213895644944
177,59467.3339028339,280.0,0,g,300.0,787.2108158516096
178,59467.34084727834,280.0,0,g,300.0,1170.8063429326717
179,59467.34779172278,280.0,0,g,300.0,1809.9335516407855
180,59467.35441209315,80.0,0,g,300.0,931301.0496287387
181,59467.361356537585,80.0,0,g,300.0,208212.0122668118
182,59467.36830098202,80.0,0,g,300.0,64860.91013516487
183,59467.37524542646,80.0,0,g,300.0,26069.89798587839
184,59467.38186579683,280.0,0,g,300.0,40953.811580807924
185,59467.38881024127,280.0,0,g,300.0,109972.17069449181
186,59467.395754685705,280.0,0,g,300.0,423777.58531249844
187,59467.40269913014,280.0,0,g,300.0,2779028.2373501016
188,59467.40931950051,80.0,0,g,300.0,1288.257365353735
189,59467.41626394495,80.0,0,g,300.0,827.5518417563796
190,59467.42320838939,80.0,0,g,300.0,529.5129325395162
191,59467.430152833826,80.0,0,g,300.0,341.99041903251793
192,59467.43709727826,80.0,0,g,300.0,220.84919754716788
193,59467.44293061159,320.0,0,g,300.0,391.83528143030804
194,59467.44987505603,320.0,0,g,300.0,683.1622375565167
195,59467.45681950047,320.0,0,g,300.0,1234.504220979436
196,59467.46343987084,120.0,0,g,300.0,1602971.2930706784
197,59467.470384315275,120.0,0,g,300.0,307948.70104965975
198,59467.47732875971,120.0,0,g,300.0,86845.43515532723
199,59467.48427320415,120.0,0,g,300.0,32653.78923218454
200,59467.49089357452,320.0,0,g,300.0,31814.420346483967
201,59467.49783801896,320.0,0,g,300.0,80357.6251541958
202,59467.504782463395,320.0,0,g,300.0,278484.0183824992
203,59467.51172690783,320.0,0,g,300.0,1532222.5364829686
204,59467.5183472782,120.0,0,g,300.0,1475.022314524983
205,59467.52529172264,120.0,0,g,300.0,941.6481823740478
206,59467.53223616708,120.0,0,g,300.0,600.1366290151476
207,59467.539180611515,120.0,0,g,300.0,387.06723210561745
208,59467.545013944844,0.0,0,g,300.0,479.5785606742956
209,59467.55195838928,0.0,0,g,300.0,642.555539444501
210,59467.55890283372,0.0,0,g,300.0,937.7597147870326
211,59467.56584727816,0.0,0,g,300.0,1418.6569421117376
212,59467.572467648526,160.0,0,g,300.0,2873167.855254989
213,59468.097913864534,160.0,0,g,300.0,467446.0233482912
